,Bike,length of longest straight,Right_Corners,Left_Corners,Year,track_width,MotoGP_avg_speed,GP_distance,corners,Rider_Name,points_mean,Track_Condition,Track_Temp,Humidity,Track,Finish_Time_ms
0,12,1068.0,10.0,6.0,2018,12.0,166.6,118.4,16.0,31,12.875862068965517,0,23.0,46.0,10,2554654.0
1,12,1076.0,9.0,5.0,2018,16.0,172.7,120.2,14.0,31,12.875862068965517,1,23.0,94.0,2,2458875.0
2,12,1200.0,9.0,11.0,2018,15.0,158.4,110.3,20.0,31,12.875862068965517,0,35.0,45.0,0,2525572.0
3,12,487.0,12.0,6.0,2018,14.0,173.1,118.1,18.0,31,12.875862068965517,0,40.0,32.0,9,2476285.0
4,12,700.0,3.0,10.0,2018,12.0,160.6,110.1,13.0,31,12.875862068965517,0,48.0,48.0,6,2472960.0
5,12,636.0,8.0,6.0,2018,15.0,165.5,113.5,14.0,31,12.875862068965517,0,41.0,44.0,4,2467728.0
6,12,530.0,10.0,6.0,2018,14.0,162.6,114.1,16.0,31,12.875862068965517,0,41.0,57.0,11,2525426.0
7,12,968.0,7.0,10.0,2018,15.0,167.0,116.8,17.0,31,12.875862068965517,0,45.0,36.0,1,2516597.0
8,12,762.0,8.0,6.0,2018,15.0,162.2,115.2,14.0,31,12.875862068965517,0,35.0,34.0,7,2599136.0
9,12,920.0,10.0,5.0,2018,16.0,164.0,110.9,15.0,31,12.875862068965517,0,53.0,55.0,8,2443620.0
10,12,1068.0,10.0,6.0,2017,12.0,166.6,118.4,16.0,31,12.875862068965517,0,22.0,96.0,10,2340460.0
11,12,1200.0,9.0,11.0,2017,15.0,158.4,110.3,20.0,31,12.875862068965517,0,40.0,31.0,0,2652828.0
12,12,607.0,8.0,6.0,2017,11.0,161.2,110.6,14.0,31,12.875862068965517,0,41.0,25.0,12,2749740.0
13,12,674.0,9.0,5.0,2017,13.0,161.8,113.0,14.0,31,12.875862068965517,0,37.0,50.0,5,2621016.0
14,12,1047.0,8.0,6.0,2017,12.0,164.4,111.0,14.0,31,12.875862068965517,0,54.0,20.0,3,2681518.0
15,12,487.0,12.0,6.0,2017,14.0,173.1,118.1,18.0,31,12.875862068965517,1,25.0,76.0,9,2506476.0
16,12,700.0,3.0,10.0,2017,12.0,160.6,110.1,13.0,31,12.875862068965517,0,26.0,65.0,6,2479713.0
17,12,636.0,8.0,6.0,2017,15.0,165.5,113.5,14.0,31,12.875862068965517,1,24.0,70.0,4,2679233.0
18,12,530.0,10.0,6.0,2017,14.0,162.6,114.1,16.0,31,12.875862068965517,1,19.0,97.0,11,3053271.0
19,12,968.0,7.0,10.0,2017,15.0,167.0,116.8,17.0,31,12.875862068965517,0,40.0,44.0,1,2534271.0
20,12,762.0,8.0,6.0,2017,15.0,162.2,115.2,14.0,31,12.875862068965517,1,15.0,97.0,7,2834236.0
21,12,920.0,10.0,5.0,2017,16.0,164.0,110.9,15.0,31,12.875862068965517,0,33.0,89.0,8,2691497.0
22,12,1068.0,10.0,6.0,2016,12.0,166.6,118.4,16.0,31,12.875862068965517,0,23.0,71.0,10,2550471.0
23,12,1076.0,9.0,5.0,2016,16.0,172.7,120.2,14.0,31,12.875862068965517,0,30.0,89.0,2,2147047.0
24,12,1047.0,8.0,6.0,2016,12.0,164.4,111.0,14.0,31,12.875862068965517,0,48.0,44.0,3,2719053.0
25,12,700.0,3.0,10.0,2016,12.0,160.6,110.1,13.0,31,12.875862068965517,1,24.0,86.0,6,2834852.0
26,12,530.0,10.0,6.0,2016,14.0,162.6,114.1,16.0,31,12.875862068965517,0,43.0,59.0,11,2643200.0
27,12,968.0,7.0,10.0,2016,15.0,167.0,116.8,17.0,31,12.875862068965517,0,36.0,58.0,1,2550126.0
28,12,762.0,8.0,6.0,2016,15.0,162.2,115.2,14.0,31,12.875862068965517,0,36.0,37.0,7,2557602.0
29,12,920.0,10.0,5.0,2016,16.0,164.0,110.9,15.0,31,12.875862068965517,1,28.0,97.0,8,2547333.0
30,12,876.0,5.0,9.0,2016,12.0,139.8,108.1,14.0,31,12.875862068965517,0,25.0,42.0,13,2772645.0
31,12,1068.0,10.0,6.0,2015,12.0,166.6,118.4,16.0,31,12.875862068965517,0,28.0,83.0,10,2555891.0
32,12,1200.0,9.0,11.0,2015,15.0,158.4,110.3,20.0,31,12.875862068965517,0,36.0,62.0,0,2629504.0
33,12,1076.0,9.0,5.0,2015,16.0,172.7,120.2,14.0,31,12.875862068965517,0,36.0,71.0,2,2501329.0
34,12,607.0,8.0,6.0,2015,11.0,161.2,110.6,14.0,31,12.875862068965517,0,30.0,41.0,12,2739179.0
35,12,674.0,9.0,5.0,2015,13.0,161.8,113.0,14.0,31,12.875862068965517,0,32.0,45.0,5,2636523.0
36,12,487.0,12.0,6.0,2015,14.0,173.1,118.1,18.0,31,12.875862068965517,0,30.0,66.0,9,2483455.0
37,12,636.0,8.0,6.0,2015,15.0,165.5,113.5,14.0,31,12.875862068965517,0,39.0,54.0,4,2588767.0
38,12,530.0,10.0,6.0,2015,14.0,162.6,114.1,16.0,31,12.875862068965517,0,31.0,34.0,11,2941253.0
39,12,968.0,7.0,10.0,2015,15.0,167.0,116.8,17.0,31,12.875862068965517,0,39.0,50.0,1,2529255.0
40,12,762.0,8.0,6.0,2015,15.0,162.2,115.2,14.0,31,12.875862068965517,1,21.0,93.0,7,2845852.0
41,12,876.0,5.0,9.0,2015,12.0,139.8,108.1,14.0,31,12.875862068965517,0,29.0,63.0,13,2788250.0
42,12,1068.0,10.0,6.0,2014,12.0,166.6,118.4,16.0,31,12.875862068965517,0,18.0,60.0,10,2572720.0
43,12,1200.0,9.0,11.0,2014,15.0,158.4,110.3,20.0,31,12.875862068965517,0,32.0,71.0,0,2634406.0
44,12,1076.0,9.0,5.0,2014,16.0,172.7,120.2,14.0,31,12.875862068965517,0,37.0,60.0,2,2533494.0
45,12,607.0,8.0,6.0,2014,11.0,161.2,110.6,14.0,31,12.875862068965517,0,50.0,25.0,12,2751628.0
46,12,674.0,9.0,5.0,2014,13.0,161.8,113.0,14.0,31,12.875862068965517,0,42.0,35.0,5,2666028.0
47,12,1047.0,8.0,6.0,2014,12.0,164.4,111.0,14.0,31,12.875862068965517,0,34.0,61.0,3,2593089.0
48,12,487.0,12.0,6.0,2014,14.0,173.1,118.1,18.0,31,12.875862068965517,1,25.0,69.0,9,2616668.0
49,12,700.0,3.0,10.0,2014,12.0,160.6,110.1,13.0,31,12.875862068965517,2,27.0,66.0,6,2541532.0
50,12,636.0,8.0,6.0,2014,15.0,165.5,113.5,14.0,31,12.875862068965517,0,23.0,71.0,4,2585634.0
51,12,530.0,10.0,6.0,2014,14.0,162.6,114.1,16.0,31,12.875862068965517,0,37.0,45.0,11,2660096.0
52,12,762.0,8.0,6.0,2014,15.0,162.2,115.2,14.0,31,12.875862068965517,0,27.0,57.0,7,2555612.0
53,12,920.0,10.0,5.0,2014,16.0,164.0,110.9,15.0,31,12.875862068965517,0,54.0,50.0,8,2494362.0
54,12,876.0,5.0,9.0,2014,12.0,139.8,108.1,14.0,31,12.875862068965517,0,22.0,45.0,13,2816332.0
55,12,1068.0,10.0,6.0,2013,12.0,166.6,118.4,16.0,31,12.875862068965517,0,23.0,66.0,10,2584157.0
56,12,1200.0,9.0,11.0,2013,15.0,158.4,110.3,20.0,31,12.875862068965517,0,38.0,46.0,0,2644497.0
57,12,607.0,8.0,6.0,2013,11.0,161.2,110.6,14.0,31,12.875862068965517,0,47.0,38.0,12,2759513.0
58,12,674.0,9.0,5.0,2013,13.0,161.8,113.0,14.0,31,12.875862068965517,1,18.0,93.0,5,2967794.0
59,12,1047.0,8.0,6.0,2013,12.0,164.4,111.0,14.0,31,12.875862068965517,0,52.0,29.0,3,2619171.0
60,12,487.0,12.0,6.0,2013,14.0,173.1,118.1,18.0,31,12.875862068965517,0,18.0,49.0,9,2519003.0
61,12,700.0,3.0,10.0,2013,12.0,160.6,110.1,13.0,31,12.875862068965517,0,42.0,48.0,6,2504680.0
62,12,636.0,8.0,6.0,2013,15.0,165.5,113.5,14.0,31,12.875862068965517,0,23.0,70.0,4,2605744.0
63,12,530.0,10.0,6.0,2013,14.0,162.6,114.1,16.0,31,12.875862068965517,0,31.0,56.0,11,2688224.0
64,12,968.0,7.0,10.0,2013,15.0,167.0,116.8,17.0,31,12.875862068965517,0,30.0,43.0,1,2564130.0
65,12,920.0,10.0,5.0,2013,16.0,164.0,110.9,15.0,31,12.875862068965517,0,44.0,58.0,8,2490302.0
66,12,762.0,8.0,6.0,2013,15.0,162.2,115.2,14.0,31,12.875862068965517,0,31.0,33.0,7,2597235.0
67,12,876.0,5.0,9.0,2013,12.0,139.8,108.1,14.0,31,12.875862068965517,0,26.0,28.0,13,2823498.0
68,68,1068.0,10.0,6.0,2012,12.0,166.6,118.4,16.0,31,12.875862068965517,0,23.0,53.0,10,2581634.0
69,68,607.0,8.0,6.0,2012,11.0,161.2,110.6,14.0,31,12.875862068965517,0,15.0,78.0,12,2751997.0
70,68,674.0,9.0,5.0,2012,13.0,161.8,113.0,14.0,31,12.875862068965517,1,19.0,96.0,5,3039502.0
71,68,1047.0,8.0,6.0,2012,12.0,164.4,111.0,14.0,31,12.875862068965517,0,40.0,49.0,3,2597042.0
72,68,487.0,12.0,6.0,2012,14.0,173.1,118.1,18.0,31,12.875862068965517,0,37.0,44.0,9,2491849.0
73,68,700.0,3.0,10.0,2012,12.0,160.6,110.1,13.0,31,12.875862068965517,0,37.0,47.0,6,2509065.0
74,68,636.0,8.0,6.0,2012,15.0,165.5,113.5,14.0,31,12.875862068965517,0,23.0,79.0,4,2590161.0
75,68,530.0,10.0,6.0,2012,14.0,162.6,114.1,16.0,31,12.875862068965517,0,36.0,56.0,11,2575894.0
76,68,968.0,7.0,10.0,2012,15.0,167.0,116.8,17.0,31,12.875862068965517,0,23.0,51.0,1,2541491.0
77,68,762.0,8.0,6.0,2012,15.0,162.2,115.2,14.0,31,12.875862068965517,0,23.0,55.0,7,2567966.0
78,68,876.0,5.0,9.0,2012,12.0,139.8,108.1,14.0,31,12.875862068965517,1,15.0,81.0,13,2994242.0
79,24,1068.0,10.0,6.0,2011,12.0,166.6,118.4,16.0,31,12.875862068965517,0,20.0,31.0,10,2564511.0
